# Generado por optimizador (busqueda genetica)
# obstaculos=334 semilla=1000 mejor_fitness=11.565264
0.196746 0.018000 0.018000
0.233405 0.018000 0.018000
0.270065 0.018000 0.018000
0.306724 0.018000 0.018000
0.343384 0.018000 0.018000
0.380043 0.018000 0.018000
0.416703 0.018000 0.018000
0.453362 0.018000 0.018000
0.490022 0.018000 0.018000
0.526681 0.018000 0.018000
0.563341 0.018000 0.018000
0.600000 0.018000 0.018000
0.636659 0.018000 0.018000
0.673319 0.018000 0.018000
0.709978 0.018000 0.018000
0.746638 0.018000 0.018000
0.783297 0.018000 0.018000
0.819957 0.018000 0.018000
0.856616 0.018000 0.018000
0.893276 0.018000 0.018000
0.929935 0.018000 0.018000
0.966595 0.018000 0.018000
1.003254 0.018000 0.018000
0.214804 0.055882 0.018000
0.251490 0.055882 0.018000
0.288175 0.055882 0.018000
0.324860 0.055882 0.018000
0.361546 0.055882 0.018000
0.398231 0.055882 0.018000
0.434916 0.055882 0.018000
0.471601 0.055882 0.018000
0.508287 0.055882 0.018000
0.544972 0.055882 0.018000
0.581657 0.055882 0.018000
0.618343 0.055882 0.018000
0.655028 0.055882 0.018000
0.691713 0.055882 0.018000
0.728399 0.055882 0.018000
0.765084 0.055882 0.018000
0.801769 0.055882 0.018000
0.838454 0.055882 0.018000
0.875140 0.055882 0.018000
0.911825 0.055882 0.018000
0.948510 0.055882 0.018000
0.985196 0.055882 0.018000
0.232863 0.093765 0.018000
0.269576 0.093765 0.018000
0.306290 0.093765 0.018000
0.343004 0.093765 0.018000
0.379718 0.093765 0.018000
0.416431 0.093765 0.018000
0.453145 0.093765 0.018000
0.489859 0.093765 0.018000
0.526573 0.093765 0.018000
0.563286 0.093765 0.018000
0.600000 0.093765 0.018000
0.636714 0.093765 0.018000
0.673427 0.093765 0.018000
0.710141 0.093765 0.018000
0.746855 0.093765 0.018000
0.783569 0.093765 0.018000
0.820282 0.093765 0.018000
0.856996 0.093765 0.018000
0.893710 0.093765 0.018000
0.930424 0.093765 0.018000
0.967137 0.093765 0.018000
0.251271 0.131647 0.018000
0.287979 0.131647 0.018000
0.324687 0.131647 0.018000
0.361396 0.131647 0.018000
0.398104 0.131647 0.018000
0.434812 0.131647 0.018000
0.471521 0.131647 0.018000
0.508229 0.131647 0.018000
0.544937 0.131647 0.018000
0.581646 0.131647 0.018000
0.618354 0.131647 0.018000
0.655063 0.131647 0.018000
0.691771 0.131647 0.018000
0.728479 0.131647 0.018000
0.765188 0.131647 0.018000
0.801896 0.131647 0.018000
0.838604 0.131647 0.018000
0.875313 0.131647 0.018000
0.912021 0.131647 0.018000
0.948729 0.131647 0.018000
0.270052 0.169529 0.018000
0.306713 0.169529 0.018000
0.343374 0.169529 0.018000
0.380035 0.169529 0.018000
0.416696 0.169529 0.018000
0.453356 0.169529 0.018000
0.490017 0.169529 0.018000
0.526678 0.169529 0.018000
0.563339 0.169529 0.018000
0.600000 0.169529 0.018000
0.636661 0.169529 0.018000
0.673322 0.169529 0.018000
0.709983 0.169529 0.018000
0.746644 0.169529 0.018000
0.783304 0.169529 0.018000
0.819965 0.169529 0.018000
0.856626 0.169529 0.018000
0.893287 0.169529 0.018000
0.929948 0.169529 0.018000
0.288833 0.207412 0.018000
0.325441 0.207412 0.018000
0.362049 0.207412 0.018000
0.398657 0.207412 0.018000
0.435265 0.207412 0.018000
0.471873 0.207412 0.018000
0.508480 0.207412 0.018000
0.545088 0.207412 0.018000
0.581696 0.207412 0.018000
0.618304 0.207412 0.018000
0.654912 0.207412 0.018000
0.691520 0.207412 0.018000
0.728127 0.207412 0.018000
0.764735 0.207412 0.018000
0.801343 0.207412 0.018000
0.837951 0.207412 0.018000
0.874559 0.207412 0.018000
0.911167 0.207412 0.018000
0.314431 0.245294 0.018000
0.352507 0.245294 0.018000
0.390583 0.245294 0.018000
0.428659 0.245294 0.018000
0.466735 0.245294 0.018000
0.504810 0.245294 0.018000
0.542886 0.245294 0.018000
0.580962 0.245294 0.018000
0.619038 0.245294 0.018000
0.657114 0.245294 0.018000
0.695190 0.245294 0.018000
0.733265 0.245294 0.018000
0.771341 0.245294 0.018000
0.809417 0.245294 0.018000
0.847493 0.245294 0.018000
0.885569 0.245294 0.018000
0.347075 0.283176 0.018000
0.383208 0.283176 0.018000
0.419340 0.283176 0.018000
0.455472 0.283176 0.018000
0.491604 0.283176 0.018000
0.527736 0.283176 0.018000
0.563868 0.283176 0.018000
0.600000 0.283176 0.018000
0.636132 0.283176 0.018000
0.672264 0.283176 0.018000
0.708396 0.283176 0.018000
0.744528 0.283176 0.018000
0.780660 0.283176 0.018000
0.816792 0.283176 0.018000
0.852925 0.283176 0.018000
0.379720 0.321059 0.018000
0.416433 0.321059 0.018000
0.453146 0.321059 0.018000
0.489860 0.321059 0.018000
0.526573 0.321059 0.018000
0.563287 0.321059 0.018000
0.600000 0.321059 0.018000
0.636713 0.321059 0.018000
0.673427 0.321059 0.018000
0.710140 0.321059 0.018000
0.746854 0.321059 0.018000
0.783567 0.321059 0.018000
0.820280 0.321059 0.018000
0.379720 0.358941 0.018000
0.416433 0.358941 0.018000
0.453146 0.358941 0.018000
0.489860 0.358941 0.018000
0.526573 0.358941 0.018000
0.563287 0.358941 0.018000
0.600000 0.358941 0.018000
0.636713 0.358941 0.018000
0.673427 0.358941 0.018000
0.710140 0.358941 0.018000
0.746854 0.358941 0.018000
0.783567 0.358941 0.018000
0.820280 0.358941 0.018000
0.347075 0.396824 0.018000
0.383208 0.396824 0.018000
0.419340 0.396824 0.018000
0.455472 0.396824 0.018000
0.491604 0.396824 0.018000
0.527736 0.396824 0.018000
0.563868 0.396824 0.018000
0.600000 0.396824 0.018000
0.636132 0.396824 0.018000
0.672264 0.396824 0.018000
0.708396 0.396824 0.018000
0.744528 0.396824 0.018000
0.780660 0.396824 0.018000
0.816792 0.396824 0.018000
0.852925 0.396824 0.018000
0.314431 0.434706 0.018000
0.352507 0.434706 0.018000
0.390583 0.434706 0.018000
0.428659 0.434706 0.018000
0.466735 0.434706 0.018000
0.504810 0.434706 0.018000
0.542886 0.434706 0.018000
0.580962 0.434706 0.018000
0.619038 0.434706 0.018000
0.657114 0.434706 0.018000
0.695190 0.434706 0.018000
0.733265 0.434706 0.018000
0.771341 0.434706 0.018000
0.809417 0.434706 0.018000
0.847493 0.434706 0.018000
0.885569 0.434706 0.018000
0.288833 0.472588 0.018000
0.325441 0.472588 0.018000
0.362049 0.472588 0.018000
0.398657 0.472588 0.018000
0.435265 0.472588 0.018000
0.471873 0.472588 0.018000
0.508480 0.472588 0.018000
0.545088 0.472588 0.018000
0.581696 0.472588 0.018000
0.618304 0.472588 0.018000
0.654912 0.472588 0.018000
0.691520 0.472588 0.018000
0.728127 0.472588 0.018000
0.764735 0.472588 0.018000
0.801343 0.472588 0.018000
0.837951 0.472588 0.018000
0.874559 0.472588 0.018000
0.911167 0.472588 0.018000
0.270052 0.510471 0.018000
0.306713 0.510471 0.018000
0.343374 0.510471 0.018000
0.380035 0.510471 0.018000
0.416696 0.510471 0.018000
0.453356 0.510471 0.018000
0.490017 0.510471 0.018000
0.526678 0.510471 0.018000
0.563339 0.510471 0.018000
0.600000 0.510471 0.018000
0.636661 0.510471 0.018000
0.673322 0.510471 0.018000
0.709983 0.510471 0.018000
0.746644 0.510471 0.018000
0.783304 0.510471 0.018000
0.819965 0.510471 0.018000
0.856626 0.510471 0.018000
0.893287 0.510471 0.018000
0.929948 0.510471 0.018000
0.251271 0.548353 0.018000
0.287979 0.548353 0.018000
0.324687 0.548353 0.018000
0.361396 0.548353 0.018000
0.398104 0.548353 0.018000
0.434812 0.548353 0.018000
0.471521 0.548353 0.018000
0.508229 0.548353 0.018000
0.544937 0.548353 0.018000
0.581646 0.548353 0.018000
0.618354 0.548353 0.018000
0.655063 0.548353 0.018000
0.691771 0.548353 0.018000
0.728479 0.548353 0.018000
0.765188 0.548353 0.018000
0.801896 0.548353 0.018000
0.838604 0.548353 0.018000
0.875313 0.548353 0.018000
0.912021 0.548353 0.018000
0.948729 0.548353 0.018000
0.232863 0.586235 0.018000
0.269576 0.586235 0.018000
0.306290 0.586235 0.018000
0.343004 0.586235 0.018000
0.379718 0.586235 0.018000
0.416431 0.586235 0.018000
0.453145 0.586235 0.018000
0.489859 0.586235 0.018000
0.526573 0.586235 0.018000
0.563286 0.586235 0.018000
0.600000 0.586235 0.018000
0.636714 0.586235 0.018000
0.673427 0.586235 0.018000
0.710141 0.586235 0.018000
0.746855 0.586235 0.018000
0.783569 0.586235 0.018000
0.820282 0.586235 0.018000
0.856996 0.586235 0.018000
0.893710 0.586235 0.018000
0.930424 0.586235 0.018000
0.967137 0.586235 0.018000
0.214804 0.624118 0.018000
0.251490 0.624118 0.018000
0.288175 0.624118 0.018000
0.324860 0.624118 0.018000
0.361546 0.624118 0.018000
0.398231 0.624118 0.018000
0.434916 0.624118 0.018000
0.471601 0.624118 0.018000
0.508287 0.624118 0.018000
0.544972 0.624118 0.018000
0.581657 0.624118 0.018000
0.618343 0.624118 0.018000
0.655028 0.624118 0.018000
0.691713 0.624118 0.018000
0.728399 0.624118 0.018000
0.765084 0.624118 0.018000
0.801769 0.624118 0.018000
0.838454 0.624118 0.018000
0.875140 0.624118 0.018000
0.911825 0.624118 0.018000
0.948510 0.624118 0.018000
0.985196 0.624118 0.018000
0.196746 0.662000 0.018000
0.233405 0.662000 0.018000
0.270065 0.662000 0.018000
0.306724 0.662000 0.018000
0.343384 0.662000 0.018000
0.380043 0.662000 0.018000
0.416703 0.662000 0.018000
0.453362 0.662000 0.018000
0.490022 0.662000 0.018000
0.526681 0.662000 0.018000
0.563341 0.662000 0.018000
0.600000 0.662000 0.018000
0.636659 0.662000 0.018000
0.673319 0.662000 0.018000
0.709978 0.662000 0.018000
0.746638 0.662000 0.018000
0.783297 0.662000 0.018000
0.819957 0.662000 0.018000
0.856616 0.662000 0.018000
