# Generado por optimizador (busqueda genetica)
# obstaculos=320 semilla=1000 mejor_fitness=11.519828
0.257827 0.018000 0.018000
0.295846 0.018000 0.018000
0.333865 0.018000 0.018000
0.371884 0.018000 0.018000
0.409904 0.018000 0.018000
0.447923 0.018000 0.018000
0.485942 0.018000 0.018000
0.523961 0.018000 0.018000
0.561981 0.018000 0.018000
0.600000 0.018000 0.018000
0.638019 0.018000 0.018000
0.676039 0.018000 0.018000
0.714058 0.018000 0.018000
0.752077 0.018000 0.018000
0.790096 0.018000 0.018000
0.828116 0.018000 0.018000
0.866135 0.018000 0.018000
0.904154 0.018000 0.018000
0.942173 0.018000 0.018000
0.211439 0.055882 0.018000
0.248445 0.055882 0.018000
0.285451 0.055882 0.018000
0.322457 0.055882 0.018000
0.359462 0.055882 0.018000
0.396468 0.055882 0.018000
0.433474 0.055882 0.018000
0.470480 0.055882 0.018000
0.507486 0.055882 0.018000
0.544491 0.055882 0.018000
0.581497 0.055882 0.018000
0.618503 0.055882 0.018000
0.655509 0.055882 0.018000
0.692514 0.055882 0.018000
0.729520 0.055882 0.018000
0.766526 0.055882 0.018000
0.803532 0.055882 0.018000
0.840538 0.055882 0.018000
0.877543 0.055882 0.018000
0.914549 0.055882 0.018000
0.951555 0.055882 0.018000
0.988561 0.055882 0.018000
0.242090 0.093765 0.018000
0.279765 0.093765 0.018000
0.317440 0.093765 0.018000
0.355115 0.093765 0.018000
0.392789 0.093765 0.018000
0.430464 0.093765 0.018000
0.468139 0.093765 0.018000
0.505813 0.093765 0.018000
0.543488 0.093765 0.018000
0.581163 0.093765 0.018000
0.618837 0.093765 0.018000
0.656512 0.093765 0.018000
0.694187 0.093765 0.018000
0.731861 0.093765 0.018000
0.769536 0.093765 0.018000
0.807211 0.093765 0.018000
0.844885 0.093765 0.018000
0.882560 0.093765 0.018000
0.920235 0.093765 0.018000
0.957910 0.093765 0.018000
0.244645 0.131647 0.018000
0.282051 0.131647 0.018000
0.319457 0.131647 0.018000
0.356862 0.131647 0.018000
0.394268 0.131647 0.018000
0.431674 0.131647 0.018000
0.469080 0.131647 0.018000
0.506486 0.131647 0.018000
0.543891 0.131647 0.018000
0.581297 0.131647 0.018000
0.618703 0.131647 0.018000
0.656109 0.131647 0.018000
0.693514 0.131647 0.018000
0.730920 0.131647 0.018000
0.768326 0.131647 0.018000
0.805732 0.131647 0.018000
0.843138 0.131647 0.018000
0.880543 0.131647 0.018000
0.917949 0.131647 0.018000
0.955355 0.131647 0.018000
0.285378 0.169529 0.018000
0.322392 0.169529 0.018000
0.359407 0.169529 0.018000
0.396421 0.169529 0.018000
0.433435 0.169529 0.018000
0.470450 0.169529 0.018000
0.507464 0.169529 0.018000
0.544478 0.169529 0.018000
0.581493 0.169529 0.018000
0.618507 0.169529 0.018000
0.655522 0.169529 0.018000
0.692536 0.169529 0.018000
0.729550 0.169529 0.018000
0.766565 0.169529 0.018000
0.803579 0.169529 0.018000
0.840593 0.169529 0.018000
0.877608 0.169529 0.018000
0.914622 0.169529 0.018000
0.357622 0.207412 0.018000
0.394911 0.207412 0.018000
0.432200 0.207412 0.018000
0.469489 0.207412 0.018000
0.506778 0.207412 0.018000
0.544067 0.207412 0.018000
0.581356 0.207412 0.018000
0.618644 0.207412 0.018000
0.655933 0.207412 0.018000
0.693222 0.207412 0.018000
0.730511 0.207412 0.018000
0.767800 0.207412 0.018000
0.805089 0.207412 0.018000
0.842378 0.207412 0.018000
0.331313 0.245294 0.018000
0.369697 0.245294 0.018000
0.408081 0.245294 0.018000
0.446465 0.245294 0.018000
0.484849 0.245294 0.018000
0.523232 0.245294 0.018000
0.561616 0.245294 0.018000
0.600000 0.245294 0.018000
0.638384 0.245294 0.018000
0.676768 0.245294 0.018000
0.715151 0.245294 0.018000
0.753535 0.245294 0.018000
0.791919 0.245294 0.018000
0.830303 0.245294 0.018000
0.868687 0.245294 0.018000
0.303669 0.283176 0.018000
0.340710 0.283176 0.018000
0.377752 0.283176 0.018000
0.414793 0.283176 0.018000
0.451834 0.283176 0.018000
0.488876 0.283176 0.018000
0.525917 0.283176 0.018000
0.562959 0.283176 0.018000
0.600000 0.283176 0.018000
0.637041 0.283176 0.018000
0.674083 0.283176 0.018000
0.711124 0.283176 0.018000
0.748166 0.283176 0.018000
0.785207 0.283176 0.018000
0.822248 0.283176 0.018000
0.859290 0.283176 0.018000
0.896331 0.283176 0.018000
0.331689 0.321059 0.018000
0.370019 0.321059 0.018000
0.408349 0.321059 0.018000
0.446679 0.321059 0.018000
0.485010 0.321059 0.018000
0.523340 0.321059 0.018000
0.561670 0.321059 0.018000
0.600000 0.321059 0.018000
0.638330 0.321059 0.018000
0.676660 0.321059 0.018000
0.714990 0.321059 0.018000
0.753321 0.321059 0.018000
0.791651 0.321059 0.018000
0.829981 0.321059 0.018000
0.868311 0.321059 0.018000
0.331689 0.358941 0.018000
0.370019 0.358941 0.018000
0.408349 0.358941 0.018000
0.446679 0.358941 0.018000
0.485010 0.358941 0.018000
0.523340 0.358941 0.018000
0.561670 0.358941 0.018000
0.600000 0.358941 0.018000
0.638330 0.358941 0.018000
0.676660 0.358941 0.018000
0.714990 0.358941 0.018000
0.753321 0.358941 0.018000
0.791651 0.358941 0.018000
0.829981 0.358941 0.018000
0.868311 0.358941 0.018000
0.303669 0.396824 0.018000
0.340710 0.396824 0.018000
0.377752 0.396824 0.018000
0.414793 0.396824 0.018000
0.451834 0.396824 0.018000
0.488876 0.396824 0.018000
0.525917 0.396824 0.018000
0.562959 0.396824 0.018000
0.600000 0.396824 0.018000
0.637041 0.396824 0.018000
0.674083 0.396824 0.018000
0.711124 0.396824 0.018000
0.748166 0.396824 0.018000
0.785207 0.396824 0.018000
0.822248 0.396824 0.018000
0.859290 0.396824 0.018000
0.896331 0.396824 0.018000
0.331313 0.434706 0.018000
0.369697 0.434706 0.018000
0.408081 0.434706 0.018000
0.446465 0.434706 0.018000
0.484849 0.434706 0.018000
0.523232 0.434706 0.018000
0.561616 0.434706 0.018000
0.600000 0.434706 0.018000
0.638384 0.434706 0.018000
0.676768 0.434706 0.018000
0.715151 0.434706 0.018000
0.753535 0.434706 0.018000
0.791919 0.434706 0.018000
0.830303 0.434706 0.018000
0.868687 0.434706 0.018000
0.357622 0.472588 0.018000
0.394911 0.472588 0.018000
0.432200 0.472588 0.018000
0.469489 0.472588 0.018000
0.506778 0.472588 0.018000
0.544067 0.472588 0.018000
0.581356 0.472588 0.018000
0.618644 0.472588 0.018000
0.655933 0.472588 0.018000
0.693222 0.472588 0.018000
0.730511 0.472588 0.018000
0.767800 0.472588 0.018000
0.805089 0.472588 0.018000
0.842378 0.472588 0.018000
0.285378 0.510471 0.018000
0.322392 0.510471 0.018000
0.359407 0.510471 0.018000
0.396421 0.510471 0.018000
0.433435 0.510471 0.018000
0.470450 0.510471 0.018000
0.507464 0.510471 0.018000
0.544478 0.510471 0.018000
0.581493 0.510471 0.018000
0.618507 0.510471 0.018000
0.655522 0.510471 0.018000
0.692536 0.510471 0.018000
0.729550 0.510471 0.018000
0.766565 0.510471 0.018000
0.803579 0.510471 0.018000
0.840593 0.510471 0.018000
0.877608 0.510471 0.018000
0.914622 0.510471 0.018000
0.244645 0.548353 0.018000
0.282051 0.548353 0.018000
0.319457 0.548353 0.018000
0.356862 0.548353 0.018000
0.394268 0.548353 0.018000
0.431674 0.548353 0.018000
0.469080 0.548353 0.018000
0.506486 0.548353 0.018000
0.543891 0.548353 0.018000
0.581297 0.548353 0.018000
0.618703 0.548353 0.018000
0.656109 0.548353 0.018000
0.693514 0.548353 0.018000
0.730920 0.548353 0.018000
0.768326 0.548353 0.018000
0.805732 0.548353 0.018000
0.843138 0.548353 0.018000
0.880543 0.548353 0.018000
0.917949 0.548353 0.018000
0.955355 0.548353 0.018000
0.242090 0.586235 0.018000
0.279765 0.586235 0.018000
0.317440 0.586235 0.018000
0.355115 0.586235 0.018000
0.392789 0.586235 0.018000
0.430464 0.586235 0.018000
0.468139 0.586235 0.018000
0.505813 0.586235 0.018000
0.543488 0.586235 0.018000
0.581163 0.586235 0.018000
0.618837 0.586235 0.018000
0.656512 0.586235 0.018000
0.694187 0.586235 0.018000
0.731861 0.586235 0.018000
0.769536 0.586235 0.018000
0.807211 0.586235 0.018000
0.844885 0.586235 0.018000
0.882560 0.586235 0.018000
0.920235 0.586235 0.018000
0.957910 0.586235 0.018000
0.211439 0.624118 0.018000
0.248445 0.624118 0.018000
0.285451 0.624118 0.018000
0.322457 0.624118 0.018000
0.359462 0.624118 0.018000
0.396468 0.624118 0.018000
0.433474 0.624118 0.018000
0.470480 0.624118 0.018000
0.507486 0.624118 0.018000
0.544491 0.624118 0.018000
0.581497 0.624118 0.018000
0.618503 0.624118 0.018000
0.655509 0.624118 0.018000
0.692514 0.624118 0.018000
0.729520 0.624118 0.018000
0.766526 0.624118 0.018000
0.803532 0.624118 0.018000
0.840538 0.624118 0.018000
0.877543 0.624118 0.018000
0.914549 0.624118 0.018000
0.951555 0.624118 0.018000
0.988561 0.624118 0.018000
0.257827 0.662000 0.018000
0.295846 0.662000 0.018000
0.333865 0.662000 0.018000
0.371884 0.662000 0.018000
0.409904 0.662000 0.018000
0.447923 0.662000 0.018000
0.485942 0.662000 0.018000
0.523961 0.662000 0.018000
0.561981 0.662000 0.018000
0.600000 0.662000 0.018000
0.638019 0.662000 0.018000
0.676039 0.662000 0.018000
0.714058 0.662000 0.018000
0.752077 0.662000 0.018000
0.790096 0.662000 0.018000
0.828116 0.662000 0.018000
0.866135 0.662000 0.018000
0.904154 0.662000 0.018000
0.942173 0.662000 0.018000
