# Generado por optimizador (busqueda genetica)
# obstaculos=334 semilla=1000 mejor_fitness=11.575462
0.189403 0.018000 0.018000
0.226730 0.018000 0.018000
0.264057 0.018000 0.018000
0.301384 0.018000 0.018000
0.338711 0.018000 0.018000
0.376038 0.018000 0.018000
0.413365 0.018000 0.018000
0.450692 0.018000 0.018000
0.488019 0.018000 0.018000
0.525346 0.018000 0.018000
0.562673 0.018000 0.018000
0.600000 0.018000 0.018000
0.637327 0.018000 0.018000
0.674654 0.018000 0.018000
0.711981 0.018000 0.018000
0.749308 0.018000 0.018000
0.786635 0.018000 0.018000
0.823962 0.018000 0.018000
0.861289 0.018000 0.018000
0.898616 0.018000 0.018000
0.935943 0.018000 0.018000
0.973270 0.018000 0.018000
1.010597 0.018000 0.018000
0.227789 0.055882 0.018000
0.265010 0.055882 0.018000
0.302231 0.055882 0.018000
0.339452 0.055882 0.018000
0.376673 0.055882 0.018000
0.413894 0.055882 0.018000
0.451115 0.055882 0.018000
0.488337 0.055882 0.018000
0.525558 0.055882 0.018000
0.562779 0.055882 0.018000
0.600000 0.055882 0.018000
0.637221 0.055882 0.018000
0.674442 0.055882 0.018000
0.711663 0.055882 0.018000
0.748885 0.055882 0.018000
0.786106 0.055882 0.018000
0.823327 0.055882 0.018000
0.860548 0.055882 0.018000
0.897769 0.055882 0.018000
0.934990 0.055882 0.018000
0.972211 0.055882 0.018000
0.229951 0.093765 0.018000
0.266956 0.093765 0.018000
0.303961 0.093765 0.018000
0.340966 0.093765 0.018000
0.377971 0.093765 0.018000
0.414976 0.093765 0.018000
0.451980 0.093765 0.018000
0.488985 0.093765 0.018000
0.525990 0.093765 0.018000
0.562995 0.093765 0.018000
0.600000 0.093765 0.018000
0.637005 0.093765 0.018000
0.674010 0.093765 0.018000
0.711015 0.093765 0.018000
0.748020 0.093765 0.018000
0.785024 0.093765 0.018000
0.822029 0.093765 0.018000
0.859034 0.093765 0.018000
0.896039 0.093765 0.018000
0.933044 0.093765 0.018000
0.970049 0.093765 0.018000
0.274226 0.131647 0.018000
0.310423 0.131647 0.018000
0.346621 0.131647 0.018000
0.382818 0.131647 0.018000
0.419015 0.131647 0.018000
0.455212 0.131647 0.018000
0.491409 0.131647 0.018000
0.527606 0.131647 0.018000
0.563803 0.131647 0.018000
0.600000 0.131647 0.018000
0.636197 0.131647 0.018000
0.672394 0.131647 0.018000
0.708591 0.131647 0.018000
0.744788 0.131647 0.018000
0.780985 0.131647 0.018000
0.817182 0.131647 0.018000
0.853379 0.131647 0.018000
0.889577 0.131647 0.018000
0.925774 0.131647 0.018000
0.261880 0.169529 0.018000
0.299449 0.169529 0.018000
0.337018 0.169529 0.018000
0.374586 0.169529 0.018000
0.412155 0.169529 0.018000
0.449724 0.169529 0.018000
0.487293 0.169529 0.018000
0.524862 0.169529 0.018000
0.562431 0.169529 0.018000
0.600000 0.169529 0.018000
0.637569 0.169529 0.018000
0.675138 0.169529 0.018000
0.712707 0.169529 0.018000
0.750276 0.169529 0.018000
0.787845 0.169529 0.018000
0.825414 0.169529 0.018000
0.862982 0.169529 0.018000
0.900551 0.169529 0.018000
0.938120 0.169529 0.018000
0.304423 0.207412 0.018000
0.341370 0.207412 0.018000
0.378317 0.207412 0.018000
0.415264 0.207412 0.018000
0.452211 0.207412 0.018000
0.489159 0.207412 0.018000
0.526106 0.207412 0.018000
0.563053 0.207412 0.018000
0.600000 0.207412 0.018000
0.636947 0.207412 0.018000
0.673894 0.207412 0.018000
0.710841 0.207412 0.018000
0.747789 0.207412 0.018000
0.784736 0.207412 0.018000
0.821683 0.207412 0.018000
0.858630 0.207412 0.018000
0.895577 0.207412 0.018000
0.330049 0.245294 0.018000
0.368613 0.245294 0.018000
0.407178 0.245294 0.018000
0.445742 0.245294 0.018000
0.484307 0.245294 0.018000
0.522871 0.245294 0.018000
0.561436 0.245294 0.018000
0.600000 0.245294 0.018000
0.638564 0.245294 0.018000
0.677129 0.245294 0.018000
0.715693 0.245294 0.018000
0.754258 0.245294 0.018000
0.792822 0.245294 0.018000
0.831387 0.245294 0.018000
0.869951 0.245294 0.018000
0.314744 0.283176 0.018000
0.352778 0.283176 0.018000
0.390812 0.283176 0.018000
0.428847 0.283176 0.018000
0.466881 0.283176 0.018000
0.504915 0.283176 0.018000
0.542949 0.283176 0.018000
0.580983 0.283176 0.018000
0.619017 0.283176 0.018000
0.657051 0.283176 0.018000
0.695085 0.283176 0.018000
0.733119 0.283176 0.018000
0.771153 0.283176 0.018000
0.809188 0.283176 0.018000
0.847222 0.283176 0.018000
0.885256 0.283176 0.018000
0.325711 0.321059 0.018000
0.362283 0.321059 0.018000
0.398855 0.321059 0.018000
0.435427 0.321059 0.018000
0.471998 0.321059 0.018000
0.508570 0.321059 0.018000
0.545142 0.321059 0.018000
0.581714 0.321059 0.018000
0.618286 0.321059 0.018000
0.654858 0.321059 0.018000
0.691430 0.321059 0.018000
0.728002 0.321059 0.018000
0.764573 0.321059 0.018000
0.801145 0.321059 0.018000
0.837717 0.321059 0.018000
0.874289 0.321059 0.018000
0.325711 0.358941 0.018000
